f10,f02,f07,f18,f15,f21,Month,f12,f06,f04,f19,f05,f20,f16,f09,f17,f14,f03,f08,f11,f01,f13,label
0,0.0,-0.7902,-0.1274,-0.0814,2,Nov,6,1.2349,3,0,1,0.0,3913.98703,190.4166667,0.0191,78,1,5,0.005424955,0.0,0.006561181,0
1,0.0,-1.0346,-0.6355,0.1085,2,Dec,0,0.3719,3,0,0,0.0,172.2083333,0.0,0.0457,6,2,6,0.033333333,0.0,0.044444444,1
0,0.0,0.6033,0.3381,0.8768,2,Nov,1,0.7479,3,0,0,0.0,787.5357143,8.0,0.0101,27,20,1,0.0,0.0,0.005142857,0
1,23.03329412,1.7443,0.3224,-0.3468,4,May,0,0.4394,2,1,0,0.0,782.0833333,0.0,0.0214,33,2,9,0.0,35.0,0.005882353,1
0,18.85445822,0.6903,0.1754,-0.0928,2,Nov,0,0.3405,2,0,0,0.0,640.875,0.0,0.0071,10,2,1,0.0,0.0,0.011111111,1
0,0.0,0.3673,-0.3969,0.4582,2,Mar,8,0.4727,3,0,1,0.0,1802.25,125.1666667,0.2,27,8,1,0.006060606,0.0,0.011774152,0
0,0.0,1.7104,-0.2017,-0.3876,2,Mar,0,-1.4205,2,0,0,0.0,23.0,0.0,0.05,5,1,1,0.08,0.0,0.12,0
0,0.0,1.0608,-1.8399,-1.3836,2,Mar,0,-0.6843,2,0,0,0.0,574.5333333,0.0,0.05,21,1,3,0.0,0.0,0.011578947,0
0,0.0,0.7076,1.398,1.562,2,Nov,1,0.7752,4,0,1,0.0,1561.2,20.2,0.0346,6,1,3,0.028571429,0.0,0.057142857,0
0,0.0,0.6877,0.2697,-0.018,2,May,0,-0.887,2,0,0,0.6,255.3222222,0.0,0.1167,24,1,8,0.025,0.0,0.038888889,0
0,0.0,-0.8636,-0.702,-1.4988,5,Feb,0,-0.0563,2,0,0,0.0,482.0,0.0,0.0151,9,6,1,0.0,0.0,0.022222222,0
0,6.380862745,0.964,1.584,1.3166,2,May,0,1.0357,2,2,0,0.0,1227.047222,0.0,0.0072,32,6,1,0.005882353,172.0,0.015787285,0
0,0.0,-1.6485,1.3998,1.6586,2,Mar,0,-0.2979,3,0,1,0.0,459.8307692,0.0,0.0235,9,2,8,0.0,0.0,0.001587302,0
